"id","infrastructure_type","infrastructure_class","status","railway_service","railway_usage","country_relation","distance_to_country_m","province_codes","province_assignment_method","source_url","decision","reason"
"osm-way-1020580109","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580109","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580110","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580110","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580111","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580111","included","intersects_generalized_vietnam_boundary"
"osm-way-1020580112","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1020580112","included","intersects_generalized_vietnam_boundary"
"osm-way-1021109466","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1021109466","included","intersects_generalized_vietnam_boundary"
"osm-way-1021109467","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1021109467","included","intersects_generalized_vietnam_boundary"
"osm-way-1021109468","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1021109468","included","intersects_generalized_vietnam_boundary"
"osm-way-1021109469","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1021109469","included","intersects_generalized_vietnam_boundary"
"osm-way-1021109470","expressway","trunk","unknown",NA,NA,"intersects_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1021109470","included","intersects_generalized_vietnam_boundary"
"osm-way-1021109471","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1021109471","included","intersects_generalized_vietnam_boundary"
"osm-way-1021109472","expressway","trunk","unknown",NA,NA,"intersects_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1021109472","included","intersects_generalized_vietnam_boundary"
"osm-way-1021109473","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1021109473","included","intersects_generalized_vietnam_boundary"
"osm-way-1021974674","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"37","polygon_intersection","https://www.openstreetmap.org/way/1021974674","included","intersects_generalized_vietnam_boundary"
"osm-way-1021974675","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"37","polygon_intersection","https://www.openstreetmap.org/way/1021974675","included","intersects_generalized_vietnam_boundary"
"osm-way-1021974676","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"37","polygon_intersection","https://www.openstreetmap.org/way/1021974676","included","intersects_generalized_vietnam_boundary"
"osm-way-1021974677","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"37","polygon_intersection","https://www.openstreetmap.org/way/1021974677","included","intersects_generalized_vietnam_boundary"
"osm-way-1021974678","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"37","polygon_intersection","https://www.openstreetmap.org/way/1021974678","included","intersects_generalized_vietnam_boundary"
"osm-way-1021974679","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"37","polygon_intersection","https://www.openstreetmap.org/way/1021974679","included","intersects_generalized_vietnam_boundary"
"osm-way-1021974684","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"37","polygon_intersection","https://www.openstreetmap.org/way/1021974684","included","intersects_generalized_vietnam_boundary"
"osm-way-1021974685","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"37","polygon_intersection","https://www.openstreetmap.org/way/1021974685","included","intersects_generalized_vietnam_boundary"
"osm-way-1022916281","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"01","polygon_intersection","https://www.openstreetmap.org/way/1022916281","included","intersects_generalized_vietnam_boundary"
"osm-way-1022916282","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"01","polygon_intersection","https://www.openstreetmap.org/way/1022916282","included","intersects_generalized_vietnam_boundary"
"osm-way-1023437358","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"79","polygon_intersection","https://www.openstreetmap.org/way/1023437358","included","intersects_generalized_vietnam_boundary"
"osm-way-1023437359","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"79","polygon_intersection","https://www.openstreetmap.org/way/1023437359","included","intersects_generalized_vietnam_boundary"
"osm-way-1023437360","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"79","polygon_intersection","https://www.openstreetmap.org/way/1023437360","included","intersects_generalized_vietnam_boundary"
"osm-way-1023437361","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"79","polygon_intersection","https://www.openstreetmap.org/way/1023437361","included","intersects_generalized_vietnam_boundary"
"osm-way-1023437362","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"79","polygon_intersection","https://www.openstreetmap.org/way/1023437362","included","intersects_generalized_vietnam_boundary"
"osm-way-1023437363","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"79","polygon_intersection","https://www.openstreetmap.org/way/1023437363","included","intersects_generalized_vietnam_boundary"
"osm-way-1023640027","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1023640027","included","intersects_generalized_vietnam_boundary"
"osm-way-1023640029","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"82","polygon_intersection","https://www.openstreetmap.org/way/1023640029","included","intersects_generalized_vietnam_boundary"
"osm-way-1023646212","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"22","polygon_intersection","https://www.openstreetmap.org/way/1023646212","included","intersects_generalized_vietnam_boundary"
"osm-way-1023646213","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"22","polygon_intersection","https://www.openstreetmap.org/way/1023646213","included","intersects_generalized_vietnam_boundary"
"osm-way-1023646214","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"22","polygon_intersection","https://www.openstreetmap.org/way/1023646214","included","intersects_generalized_vietnam_boundary"
"osm-way-1023646216","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"22","polygon_intersection","https://www.openstreetmap.org/way/1023646216","included","intersects_generalized_vietnam_boundary"
"osm-way-1023646217","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"22","polygon_intersection","https://www.openstreetmap.org/way/1023646217","included","intersects_generalized_vietnam_boundary"
"osm-way-1023646220","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"22","polygon_intersection","https://www.openstreetmap.org/way/1023646220","included","intersects_generalized_vietnam_boundary"
"osm-way-1023646221","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"22","polygon_intersection","https://www.openstreetmap.org/way/1023646221","included","intersects_generalized_vietnam_boundary"
"osm-way-1024262587","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"56","polygon_intersection","https://www.openstreetmap.org/way/1024262587","included","intersects_generalized_vietnam_boundary"
"osm-way-1024262588","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"56|68","polygon_intersection","https://www.openstreetmap.org/way/1024262588","included","intersects_generalized_vietnam_boundary"
"osm-way-1024262589","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"68","polygon_intersection","https://www.openstreetmap.org/way/1024262589","included","intersects_generalized_vietnam_boundary"
"osm-way-1024262590","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"56","polygon_intersection","https://www.openstreetmap.org/way/1024262590","included","intersects_generalized_vietnam_boundary"
"osm-way-1024262591","expressway","trunk","under_construction",NA,NA,"within_generalized_boundary",0,"56|68","polygon_intersection","https://www.openstreetmap.org/way/1024262591","included","intersects_generalized_vietnam_boundary"
"osm-way-1024262599","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"68","polygon_intersection","https://www.openstreetmap.org/way/1024262599","included","intersects_generalized_vietnam_boundary"
"osm-way-1024265188","expressway","trunk","unknown",NA,NA,"intersects_generalized_boundary",0,"56","polygon_intersection","https://www.openstreetmap.org/way/1024265188","included","intersects_generalized_vietnam_boundary"
"osm-way-1024265199","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"56","polygon_intersection","https://www.openstreetmap.org/way/1024265199","included","intersects_generalized_vietnam_boundary"
"osm-way-1024265200","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"56","polygon_intersection","https://www.openstreetmap.org/way/1024265200","included","intersects_generalized_vietnam_boundary"
"osm-way-1024265201","expressway","trunk","unknown",NA,NA,"intersects_generalized_boundary",0,"56","polygon_intersection","https://www.openstreetmap.org/way/1024265201","included","intersects_generalized_vietnam_boundary"
"osm-way-1024266463","expressway","trunk","unknown",NA,NA,"intersects_generalized_boundary",0,"56","polygon_intersection","https://www.openstreetmap.org/way/1024266463","included","intersects_generalized_vietnam_boundary"
"osm-way-1024266464","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"56","polygon_intersection","https://www.openstreetmap.org/way/1024266464","included","intersects_generalized_vietnam_boundary"
"osm-way-1024266465","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"56","polygon_intersection","https://www.openstreetmap.org/way/1024266465","included","intersects_generalized_vietnam_boundary"
"osm-way-1024266466","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"56","polygon_intersection","https://www.openstreetmap.org/way/1024266466","included","intersects_generalized_vietnam_boundary"
"osm-way-1024266467","expressway","trunk","unknown",NA,NA,"within_generalized_boundary",0,"56","polygon_intersection","https://www.openstreetmap.org/way/1024266467","included","intersects_generalized_vietnam_boundary"
